WMO-Station ID; StationName;                                Latitude; Longitude; Height; Country
28493;          Tara;                                          56.90;     74.38;     73; Russian Federation                             
28552;          Sadrisnk;                                      56.07;     63.65;     89; Russian Federation                             
28573;          Ishim;                                         56.10;     69.43;     82; Russian Federation                             
28661;          Kurgan;                                        55.47;     65.40;     74; Russian Federation                             
28666;          Makusino;                                      55.25;     67.30;    140; Russian Federation                             
28676;          Petropavlovsk;                                 54.78;     69.18;    101; Kazakhstan                                     
28679;          Petropavlovsk;                                 54.83;     69.15;    142; Kazakhstan                                     
28698;          Omsk;                                          55.02;     73.38;    122; Russian Federation                             
28704;          Culpanovo;                                     54.49;     50.41;     77; Russian Federation                             
28711;          Bugul'ma;                                      54.58;     52.80;    304; Russian Federation                             
28722;          Ufa;                                           54.71;     55.81;    104; Russian Federation                             
28748;          Troizk;                                        54.08;     61.62;    192; Russian Federation                             
28766;          Blagoveshenka;                                 54.37;     66.97;    151; Kazakhstan                                     
28838;          Magnitogorsk;                                  53.35;     59.08;    384; Russian Federation                             
28879;          Kokshetay;                                     53.28;     69.38;    229; Kazakhstan                                     
28952;          Kostanay;                                      53.22;     63.62;    170; Kazakhstan                                     
28966;          Ruzaevka;                                      52.82;     66.97;    227; Kazakhstan                                     
28978;          Balkashino;                                    52.53;     68.74;    398; Kazakhstan                                     
29111;          Sredny Vasyugan;                               59.22;     78.23;     69; Russian Federation                             
29231;          Kolpasevo;                                     58.32;     82.95;     75; Russian Federation                             
29263;          Jenisseisk;                                    58.45;     92.20;     79; Russian Federation                             
29282;          Bogucany;                                      58.38;     97.45;    134; Russian Federation                             
29313;          Pudino;                                        57.56;     79.43;     97; Russian Federation                             
29328;          Bakchar;                                       57.01;     82.06;    110; Russian Federation                             
29379;          Taseevo;                                       57.20;     94.91;    165; Russian Federation                             
29570;          Krasnojarsk;                                   56.03;     92.75;    276; Russian Federation                             
29571;          Minino;                                        56.07;     92.73;    234; Russian Federation                             
29574;          Krasnojarsk;                                   56.00;     92.88;    194; Russian Federation                             
29594;          Tajshet;                                       55.95;     98.00;    307; Russian Federation                             
29612;          Barabinsk;                                     55.35;     78.31;    120; Russian Federation                             
29645;          Kemerovskij;                                   55.25;     86.22;    148; Russian Federation                             
29752;          Nenastnaya;                                    54.75;     88.82;   1188; Russian Federation                             
29789;          Verhnjaja Gutara;                              54.22;     96.97;    984; Russian Federation                             
29798;          0;                                             00;        00;      ;                                                    
29807;          Ertis;                                         53.35;     75.45;     94; Kazakhstan                                     
29838;          Barnaul;                                       53.33;     83.70;    196; Russian Federation                             
29866;          Minusinsk;                                     53.72;     91.70;    254; Russian Federation                             
29939;          Zonalnaya;                                     52.68;     84.93;    225; Russian Federation                             
30054;          Vitim;                                         59.45;    112.58;    190; Russian Federation                             
30089;          Dzhikimda;                                     59.02;    121.77;    175; Russian Federation                             
30173;          Tyanya;                                        59.00;    119.80;    199; Russian Federation                             
30230;          Kirensk;                                       57.77;    108.07;    259; Russian Federation                             
30252;          Mamakan;                                       57.82;    114.02;    249; Russian Federation                             
30309;          Bratsk;                                        56.29;    101.75;    416; Russian Federation                             
30372;          Chara;                                         56.90;    118.26;    711; Russian Federation                             
